orden_id,producto,turno,horas_maquina,materia_prima,margen,demanda,retraso_horas
76,B,Noche,1.20,1.97,29.63,44,2.78
77,A,Tarde,1.85,0.94,38.86,22,0.92
78,B,Noche,1.21,1.98,31.17,49,2.72
79,C,Noche,2.77,1.55,53.30,17,1.79
80,B,Mañana,1.30,2.05,32.26,51,0.00
81,A,Tarde,2.15,0.99,37.24,22,0.34
82,B,Mañana,1.20,2.07,32.90,48,2.07
83,C,Mañana,2.69,1.56,54.79,30,0.00
84,B,Tarde,1.22,2.10,28.15,51,2.67
85,B,Noche,1.22,2.08,29.32,46,4.77
86,B,Tarde,1.18,1.97,32.55,48,2.86
87,A,Noche,1.89,1.07,42.92,34,3.96
88,A,Mañana,2.14,1.06,40.04,27,1.20
89,C,Mañana,2.87,1.64,52.87,3,0.00
90,B,Tarde,1.22,1.91,30.71,39,1.03
91,A,Mañana,2.02,1.01,37.35,24,3.47
92,A,Mañana,2.05,0.91,41.31,16,0.00
93,C,Mañana,2.86,1.60,53.23,46,0.00
94,A,Noche,1.99,1.01,41.05,28,3.80
95,C,Tarde,2.69,1.61,53.09,24,1.16
96,C,Mañana,2.86,1.57,49.72,35,0.71
97,C,Tarde,2.87,1.65,50.49,14,0.00
98,A,Mañana,1.86,1.09,41.37,32,1.58
99,B,Noche,1.26,2.04,31.83,41,3.25
100,B,Mañana,1.08,1.97,31.24,54,0.00
101,A,Tarde,1.97,0.95,42.91,29,0.00
102,A,Noche,1.93,1.08,37.37,22,1.30
103,A,Mañana,1.85,1.10,37.08,30,2.14
104,C,Noche,2.76,1.51,50.03,18,0.77
105,C,Mañana,2.94,1.52,53.10,29,2.20
106,A,Tarde,2.06,1.08,38.06,42,3.23
107,A,Noche,1.86,1.01,42.75,47,1.11
108,B,Tarde,1.08,2.04,30.54,49,1.60
109,A,Noche,1.90,1.02,39.02,22,2.72
110,B,Tarde,1.33,2.03,27.39,48,1.83
111,B,Mañana,1.29,1.91,27.35,57,0.81
112,C,Noche,2.88,1.62,54.09,34,3.28
113,C,Noche,2.82,1.61,51.37,19,1.81
114,B,Mañana,1.18,1.94,32.67,40,1.72
115,A,Tarde,1.86,0.92,40.37,28,0.19
116,B,Noche,1.26,2.01,27.25,54,1.68
117,C,Noche,2.92,1.61,52.85,24,0.25
118,A,Tarde,1.97,0.97,40.23,39,0.00
119,B,Noche,1.20,2.07,30.05,46,1.69
120,A,Mañana,1.99,0.94,38.33,28,3.15
121,B,Mañana,1.22,2.02,27.27,35,3.18
122,A,Tarde,1.85,0.95,41.88,45,0.00
123,B,Mañana,1.16,2.07,27.27,51,1.88
124,C,Tarde,2.91,1.58,52.42,32,0.00
125,A,Noche,2.07,0.95,41.14,26,2.88
126,B,Mañana,1.30,2.00,30.60,42,0.00
127,C,Tarde,2.69,1.64,49.42,28,1.58
128,B,Mañana,1.11,1.97,32.66,47,3.27
129,C,Tarde,2.74,1.56,54.13,24,3.53
130,B,Mañana,1.34,2.01,29.99,66,4.54
131,B,Tarde,1.08,1.95,32.00,53,3.33
132,A,Mañana,1.98,0.97,41.43,21,1.92
133,C,Noche,2.88,1.54,50.26,20,3.87
134,A,Tarde,2.11,0.95,38.05,17,1.76
135,A,Tarde,1.96,1.09,40.03,35,3.08
136,B,Noche,1.27,1.91,29.64,54,0.41
137,B,Noche,1.10,2.01,28.91,50,2.45
138,C,Noche,2.66,1.64,53.34,24,2.48
139,A,Noche,1.92,0.98,40.38,39,0.00
140,A,Mañana,2.08,0.91,40.27,48,1.35
141,B,Noche,1.24,1.96,30.70,35,2.87
142,C,Tarde,2.83,1.57,54.93,7,1.94
143,A,Tarde,2.01,0.97,37.87,30,0.30
144,B,Tarde,1.31,1.97,27.13,49,0.21
145,B,Tarde,1.26,2.01,28.36,35,2.66
146,B,Mañana,1.33,1.98,29.51,47,0.00
147,B,Tarde,1.16,1.97,29.39,47,0.00
148,A,Noche,1.91,0.94,42.24,28,0.35
149,B,Noche,1.31,2.06,29.25,45,3.50
150,B,Mañana,1.21,1.99,32.43,63,0.17
151,B,Mañana,1.11,1.97,32.34,37,0.00
152,B,Mañana,1.33,1.90,28.24,43,0.62
153,C,Noche,2.82,1.53,51.41,26,1.12
154,B,Tarde,1.19,2.07,27.78,54,0.45
155,C,Noche,2.87,1.68,53.06,25,1.48
156,A,Mañana,1.95,0.92,42.59,25,2.94
157,A,Tarde,2.10,0.97,42.46,21,0.00
158,B,Tarde,1.26,1.96,27.61,32,0.00
159,A,Mañana,1.97,1.01,40.71,39,2.59
160,B,Noche,1.34,2.04,32.42,59,1.77
161,A,Tarde,1.88,0.91,42.28,25,1.29
162,A,Noche,2.06,1.06,42.59,29,1.62
163,A,Tarde,2.13,1.01,42.31,50,0.76
164,A,Mañana,1.89,0.96,39.36,48,4.81
165,C,Mañana,2.94,1.56,53.27,28,0.80
166,C,Tarde,2.65,1.68,51.51,32,3.56
167,A,Noche,1.93,1.00,42.50,16,2.31
168,A,Noche,1.92,0.96,39.69,31,2.28
169,C,Noche,2.79,1.52,52.31,40,5.14
170,C,Mañana,2.87,1.50,51.28,31,0.17
171,A,Noche,2.05,1.04,39.01,39,0.00
172,B,Tarde,1.26,1.93,29.08,47,1.98
173,B,Tarde,1.07,1.99,31.03,54,0.00
174,C,Mañana,2.66,1.53,53.57,25,1.94
175,A,Mañana,2.02,0.95,37.52,45,2.10
176,C,Tarde,2.91,1.62,49.94,13,0.00
177,B,Noche,1.31,2.06,27.63,56,3.72
178,A,Noche,2.13,0.94,41.31,41,2.97
179,C,Mañana,2.71,1.64,51.32,21,0.30
180,A,Noche,2.15,1.02,38.12,31,4.29
181,A,Tarde,1.91,0.90,38.06,35,1.79
182,C,Noche,2.94,1.64,53.22,29,2.54
183,B,Mañana,1.10,2.03,30.55,40,0.00
184,B,Mañana,1.18,2.06,31.41,36,0.58
185,C,Tarde,2.73,1.53,49.37,7,1.12
186,A,Noche,2.08,0.99,41.04,40,1.13
187,C,Noche,2.68,1.62,54.50,17,3.83
188,C,Mañana,2.82,1.65,50.91,15,3.13
189,B,Tarde,1.14,2.00,30.28,47,0.00
190,A,Mañana,2.06,0.98,42.28,27,3.39
191,B,Tarde,1.31,1.99,27.92,47,0.00
192,A,Mañana,2.09,0.98,42.22,38,2.15
193,B,Noche,1.32,1.93,32.68,48,2.37
194,B,Mañana,1.13,1.94,29.98,56,3.37
195,C,Tarde,2.72,1.60,53.34,7,2.49
196,A,Tarde,2.14,0.91,42.77,40,1.54
197,B,Noche,1.14,1.95,32.66,50,0.63
198,A,Tarde,2.04,0.97,38.86,25,0.00
199,C,Mañana,2.81,1.57,51.24,23,0.27
200,C,Tarde,2.67,1.59,51.50,26,2.29
201,A,Tarde,2.04,1.08,39.86,32,2.34
202,B,Noche,1.11,1.93,28.93,33,0.00
203,A,Noche,2.03,0.95,41.92,25,2.22
204,A,Tarde,2.00,0.92,41.50,31,0.57
205,B,Tarde,1.23,2.08,32.75,47,2.63
206,A,Tarde,2.06,0.97,41.67,28,1.18
207,A,Tarde,1.96,1.02,40.37,38,0.00
208,B,Tarde,1.23,2.01,31.94,35,0.00
209,C,Noche,2.69,1.65,53.41,29,4.63
210,B,Mañana,1.29,1.98,31.91,54,1.08
211,A,Tarde,1.86,1.03,41.57,41,1.80
212,A,Tarde,2.04,1.01,40.56,34,0.28
213,B,Tarde,1.13,2.04,29.72,50,1.67
214,A,Mañana,1.87,0.97,39.86,43,3.20
215,B,Noche,1.06,1.99,28.94,52,3.96
216,A,Noche,1.93,1.01,40.41,36,1.76
217,C,Noche,2.69,1.51,49.41,30,3.59
218,C,Mañana,2.68,1.57,51.14,31,1.67
219,A,Tarde,1.97,0.91,39.50,37,0.00
220,C,Mañana,2.89,1.59,49.69,30,0.38
221,A,Mañana,2.04,1.01,37.31,37,0.11
222,A,Mañana,1.92,0.95,37.92,40,0.00
223,B,Tarde,1.28,2.03,27.12,48,0.00
224,C,Noche,2.86,1.61,49.24,20,1.55
225,C,Tarde,2.65,1.64,52.49,13,3.37
226,A,Tarde,1.91,1.01,42.49,33,0.00
227,C,Tarde,2.80,1.53,50.21,19,0.15
228,B,Tarde,1.17,2.03,29.71,28,2.32
229,C,Noche,2.88,1.54,49.68,22,2.56
230,A,Mañana,2.08,1.05,38.79,31,0.03
231,C,Tarde,2.76,1.51,52.76,9,0.00
232,B,Mañana,1.20,1.96,28.30,51,2.23
233,B,Noche,1.17,1.97,32.91,44,1.56
234,B,Tarde,1.22,1.96,32.92,51,0.11
235,C,Mañana,2.92,1.67,52.72,37,0.00
236,A,Tarde,1.98,1.05,42.77,40,1.82
237,C,Mañana,2.94,1.65,51.24,22,3.15
238,B,Mañana,1.32,1.96,28.58,63,0.00
239,A,Mañana,2.13,1.05,41.09,52,1.66
240,B,Mañana,1.05,1.92,28.41,55,0.00
241,C,Tarde,2.73,1.64,51.88,24,0.14
242,A,Tarde,2.05,0.91,39.98,37,0.00
243,A,Noche,2.12,1.03,42.76,42,0.45
244,C,Tarde,2.71,1.55,53.03,30,0.78
245,C,Tarde,2.89,1.70,49.26,10,0.00
246,C,Noche,2.80,1.55,54.09,32,2.52
247,C,Tarde,2.79,1.59,49.98,20,0.00
248,C,Noche,2.69,1.65,51.08,28,3.45
249,B,Tarde,1.28,1.93,31.04,57,0.00
250,B,Tarde,1.34,1.92,28.52,59,3.60
251,C,Tarde,2.79,1.61,53.08,30,0.12
252,C,Mañana,2.83,1.61,53.99,32,3.26
253,A,Mañana,2.10,0.98,41.94,51,0.00
254,C,Mañana,2.81,1.62,50.53,6,0.00
255,C,Mañana,2.86,1.66,51.94,18,3.54
256,B,Noche,1.33,2.00,31.92,49,3.47
257,B,Noche,1.28,1.92,30.84,33,2.92
258,A,Noche,1.85,1.06,40.03,37,2.62
259,A,Noche,2.14,0.95,39.44,38,0.43
260,A,Mañana,1.86,0.91,37.73,39,3.39
261,A,Mañana,1.93,1.09,39.53,28,2.19
262,C,Noche,2.74,1.58,50.25,15,2.97
263,B,Noche,1.23,1.91,29.95,54,2.36
264,A,Tarde,2.06,1.07,39.30,30,0.83
265,C,Noche,2.84,1.57,54.83,23,2.12
266,A,Tarde,2.08,0.92,38.51,39,1.62
267,C,Noche,2.93,1.59,53.49,26,6.41
268,A,Tarde,1.94,1.06,42.13,35,2.51
269,A,Noche,1.89,1.07,41.69,41,1.46
270,C,Mañana,2.79,1.64,51.33,35,0.01
271,A,Tarde,2.03,1.04,39.95,39,0.28
272,A,Mañana,1.94,0.97,37.66,42,3.36
273,A,Tarde,2.00,0.90,41.65,40,0.00
274,B,Mañana,1.14,1.94,32.19,39,0.12
275,C,Tarde,2.89,1.69,49.70,27,1.69
276,C,Noche,2.66,1.60,53.77,13,3.10
277,C,Tarde,2.84,1.52,51.84,23,2.88
278,B,Mañana,1.07,1.95,32.69,42,2.18
279,A,Mañana,1.89,0.93,40.42,29,0.00
280,C,Tarde,2.82,1.60,54.83,19,0.00
281,A,Noche,1.86,0.94,38.80,33,0.61
282,B,Mañana,1.20,1.90,30.15,47,2.84
283,B,Mañana,1.15,1.95,29.88,50,3.16
284,B,Tarde,1.11,1.93,30.32,36,0.00
285,A,Mañana,2.05,1.07,37.87,34,0.00
286,A,Noche,1.90,1.03,39.48,20,0.00
287,B,Tarde,1.07,1.99,32.22,48,0.65
288,C,Noche,2.93,1.58,52.64,33,0.25
289,A,Tarde,2.03,1.06,42.33,25,0.00
290,A,Mañana,2.03,0.96,41.64,32,1.15
291,A,Noche,1.88,1.08,37.87,29,0.98
292,B,Tarde,1.19,2.06,32.50,44,2.75
293,B,Tarde,1.31,1.99,29.93,48,0.00
294,C,Noche,2.82,1.64,52.60,25,1.31
295,B,Mañana,1.26,2.10,30.20,45,0.64
296,C,Tarde,2.93,1.67,52.57,27,4.40
297,B,Mañana,1.22,1.97,28.84,52,0.00
298,B,Tarde,1.13,1.98,30.95,49,0.00
299,A,Noche,1.94,1.04,39.17,27,1.75
300,B,Noche,1.21,1.92,31.34,46,3.19
301,C,Noche,2.90,1.54,52.88,18,2.12
302,B,Noche,1.13,2.01,30.22,54,3.73
303,B,Mañana,1.34,2.06,32.90,53,1.02
304,B,Tarde,1.19,2.10,30.50,46,2.91
305,A,Tarde,1.87,0.99,42.89,26,0.04
306,B,Tarde,1.09,1.94,29.17,48,0.52
307,A,Tarde,1.88,1.01,37.76,44,2.40
308,B,Mañana,1.06,2.03,27.36,64,3.65
309,C,Tarde,2.74,1.55,50.32,14,0.00
310,C,Tarde,2.90,1.53,52.32,22,1.97
311,B,Mañana,1.21,1.90,27.96,38,0.10
312,B,Tarde,1.09,1.95,29.44,48,3.05
313,A,Mañana,1.93,0.90,41.03,19,2.18
314,B,Tarde,1.11,1.92,27.49,45,0.00
315,C,Tarde,2.91,1.65,49.14,25,0.00
316,C,Tarde,2.78,1.68,51.05,34,1.23
317,B,Tarde,1.23,1.97,31.22,38,0.00
318,B,Mañana,1.29,1.94,28.89,42,1.64
319,B,Mañana,1.16,2.08,32.76,43,0.00
320,C,Noche,2.67,1.64,49.13,18,1.48
321,A,Tarde,1.98,0.99,39.54,27,1.53
322,B,Tarde,1.32,1.95,27.95,50,2.95
323,C,Noche,2.81,1.54,49.22,23,2.42
324,A,Mañana,2.06,0.93,40.69,28,0.63
325,C,Tarde,2.79,1.56,54.15,21,4.28
326,A,Tarde,1.94,1.00,38.39,36,1.27
327,C,Noche,2.70,1.61,54.65,29,1.42
328,A,Noche,2.06,0.91,37.61,36,1.24
329,A,Tarde,2.02,0.97,38.07,28,0.80
330,A,Tarde,2.11,1.05,40.08,43,1.23
331,A,Tarde,1.89,0.91,37.94,44,3.20
332,B,Noche,1.28,1.99,29.73,44,0.00
333,A,Noche,2.03,0.91,42.90,38,3.03
334,C,Tarde,2.85,1.58,52.25,16,2.04
335,C,Noche,2.76,1.62,53.31,24,0.00
336,C,Tarde,2.70,1.67,49.76,28,1.13
337,B,Tarde,1.08,2.08,29.30,47,1.31
338,B,Mañana,1.28,1.94,31.65,48,0.00
339,C,Noche,2.69,1.66,51.38,35,4.61
340,B,Tarde,1.20,1.99,29.79,54,0.00
341,B,Mañana,1.12,1.93,30.84,54,1.86
342,B,Tarde,1.32,2.08,32.23,53,1.59
343,C,Noche,2.79,1.69,54.21,17,2.28
344,A,Tarde,2.13,0.93,42.95,41,2.88
345,B,Mañana,1.06,1.94,30.13,56,1.23
346,C,Tarde,2.75,1.57,51.21,28,0.00
347,B,Tarde,1.18,2.00,31.00,35,0.26
348,C,Mañana,2.95,1.53,53.95,18,3.08
349,C,Noche,2.84,1.53,53.57,28,4.06
350,B,Tarde,1.12,1.91,27.07,53,2.16
351,A,Tarde,2.09,1.08,39.56,11,0.00
352,A,Mañana,2.15,0.93,37.22,31,0.00
353,A,Tarde,2.12,0.93,41.04,42,2.47
354,B,Noche,1.27,1.97,29.81,58,1.57
355,C,Noche,2.75,1.63,52.16,17,0.00
356,C,Noche,2.85,1.66,53.67,25,4.85
357,B,Tarde,1.13,2.09,28.80,72,0.21
358,A,Noche,1.94,1.07,37.64,37,2.96
359,A,Mañana,1.99,0.93,37.59,26,0.63
360,C,Tarde,2.78,1.57,49.49,29,2.46
361,C,Mañana,2.88,1.69,49.34,17,1.89
362,B,Tarde,1.34,1.97,29.22,44,2.62
363,B,Tarde,1.23,1.98,32.10,45,3.01
364,A,Tarde,1.90,0.97,39.26,36,1.31
365,C,Mañana,2.70,1.59,54.38,38,0.00
366,C,Noche,2.70,1.51,51.83,31,2.35
367,B,Noche,1.26,2.07,29.14,45,1.91
368,B,Tarde,1.08,2.10,27.49,48,1.01
369,A,Mañana,2.12,1.06,39.94,33,2.24
370,C,Mañana,2.90,1.56,49.39,20,0.28
371,C,Noche,2.80,1.60,50.34,23,3.57
372,B,Noche,1.10,1.99,29.72,54,1.72
373,C,Noche,2.89,1.58,54.58,29,0.00
374,C,Tarde,2.71,1.59,53.22,27,1.12
375,A,Mañana,1.88,0.99,37.90,46,2.15
376,C,Tarde,2.82,1.64,51.61,33,2.50
377,C,Noche,2.87,1.56,53.25,34,0.76
378,B,Mañana,1.17,1.97,27.29,55,0.00
379,B,Mañana,1.29,1.99,32.80,51,0.00
380,B,Mañana,1.29,2.05,31.24,37,0.00
381,C,Noche,2.71,1.67,49.99,24,2.76
382,B,Mañana,1.06,1.93,30.08,41,1.04
383,A,Noche,1.90,0.91,37.06,29,3.16
384,C,Tarde,2.75,1.52,53.63,30,0.81
385,A,Tarde,2.05,1.07,41.46,32,2.48
386,C,Noche,2.83,1.62,51.61,38,1.27
387,B,Noche,1.23,1.96,32.98,41,2.43
388,A,Tarde,2.03,1.09,37.38,37,0.00
389,B,Noche,1.22,2.08,32.01,49,3.26
390,C,Mañana,2.90,1.63,52.48,24,1.09
391,A,Mañana,1.92,1.06,38.43,36,1.01
392,A,Tarde,2.01,1.08,42.64,50,1.31
393,C,Noche,2.89,1.65,52.98,14,2.14
394,C,Noche,2.82,1.66,54.13,32,1.43
395,C,Tarde,2.70,1.63,49.09,18,1.57
396,A,Tarde,1.86,0.93,41.50,33,3.19
397,C,Tarde,2.77,1.68,50.22,26,1.58
398,B,Tarde,1.35,2.04,30.83,52,1.40
399,A,Mañana,2.14,0.91,41.62,34,0.00
400,A,Mañana,2.08,0.97,40.00,39,0.00
401,C,Mañana,2.79,1.62,53.71,22,1.52
402,A,Tarde,2.09,1.01,38.50,51,1.38
403,A,Mañana,1.90,0.97,40.13,32,0.08
404,C,Tarde,2.66,1.67,53.76,11,2.12
405,B,Mañana,1.10,2.02,29.90,37,0.00
406,C,Mañana,2.90,1.69,53.68,16,0.41
407,B,Noche,1.16,2.08,27.22,51,3.91
408,A,Noche,2.13,1.03,39.49,45,0.00
409,B,Mañana,1.09,1.92,30.12,49,0.00
410,B,Tarde,1.22,2.01,31.57,58,2.87
411,C,Tarde,2.72,1.61,51.55,28,1.17
412,B,Noche,1.34,1.93,28.55,44,2.69
413,B,Tarde,1.34,2.10,29.18,34,1.03
414,B,Mañana,1.06,1.96,28.11,51,1.45
415,C,Noche,2.83,1.52,49.68,38,1.69
416,B,Mañana,1.10,1.94,31.80,48,2.20
417,C,Noche,2.92,1.52,53.28,39,0.90
418,C,Tarde,2.92,1.63,49.60,9,2.97
419,B,Tarde,1.08,1.97,31.45,50,1.51
420,C,Mañana,2.68,1.60,51.82,18,2.44
421,B,Mañana,1.23,2.01,31.76,52,1.45
422,C,Noche,2.86,1.52,53.87,12,2.55
423,A,Mañana,2.07,1.06,41.09,34,2.53
424,C,Noche,2.91,1.62,53.38,30,0.64
425,A,Mañana,1.98,1.02,39.33,37,0.00
426,A,Tarde,2.14,0.98,40.47,32,3.06
427,A,Noche,1.98,1.03,39.99,42,1.89
428,A,Noche,1.93,0.93,38.11,31,1.51
429,C,Mañana,2.69,1.51,54.99,24,0.00
430,C,Tarde,2.69,1.54,54.76,14,0.02
431,C,Mañana,2.90,1.50,49.64,26,1.81
432,C,Noche,2.89,1.67,50.95,15,3.27
433,C,Tarde,2.78,1.54,52.81,27,2.35
434,C,Noche,2.72,1.60,50.64,25,2.14
435,B,Mañana,1.07,2.08,27.36,41,1.32
436,B,Mañana,1.31,1.93,28.68,46,1.11
437,C,Mañana,2.83,1.57,52.87,13,1.72
438,B,Tarde,1.34,1.95,29.88,44,1.30
439,A,Noche,2.00,0.94,42.69,15,1.89
440,A,Tarde,2.07,1.00,41.14,32,3.18
441,B,Noche,1.17,1.91,32.74,61,4.10
442,B,Mañana,1.28,2.03,30.34,37,0.00
443,C,Mañana,2.84,1.70,49.02,31,0.66
444,C,Noche,2.78,1.57,51.89,29,4.35
445,C,Tarde,2.73,1.66,52.52,16,0.00
446,C,Noche,2.82,1.52,51.83,26,3.16
447,A,Tarde,1.96,1.05,40.19,25,1.07
448,C,Mañana,2.86,1.52,54.38,26,3.99
449,A,Tarde,1.97,1.10,37.44,24,0.00
450,B,Noche,1.09,2.05,28.31,53,2.76
451,C,Tarde,2.69,1.56,52.53,19,1.32
452,B,Mañana,1.23,1.92,28.50,37,0.00
453,A,Mañana,1.99,0.96,38.00,34,0.00
454,B,Mañana,1.29,2.08,27.60,42,0.97
455,C,Tarde,2.65,1.64,54.61,25,0.00
456,A,Mañana,2.07,1.10,40.43,31,0.15
457,A,Mañana,2.07,1.05,38.18,35,1.77
458,B,Mañana,1.25,1.95,27.81,61,3.23
459,A,Tarde,2.04,1.08,38.80,32,0.20
460,A,Mañana,1.99,0.90,39.25,22,0.53
461,B,Mañana,1.08,1.93,27.44,40,1.81
462,C,Mañana,2.73,1.60,52.33,16,0.00
463,C,Noche,2.95,1.68,49.94,34,2.07
464,C,Mañana,2.94,1.58,52.67,26,0.00
465,B,Noche,1.11,2.05,31.63,56,2.29
466,B,Noche,1.19,1.92,30.49,49,1.35
467,A,Mañana,2.07,1.01,42.14,26,0.45
468,C,Noche,2.86,1.66,49.32,31,4.87
469,A,Mañana,2.12,1.00,40.64,38,0.26
470,C,Mañana,2.75,1.61,50.56,22,1.71
471,A,Mañana,1.98,1.07,38.23,35,0.00
472,C,Mañana,2.81,1.62,49.43,23,0.00
473,C,Tarde,2.79,1.64,54.96,23,1.33
474,A,Mañana,2.08,1.04,42.18,33,0.38
475,A,Noche,2.09,1.02,37.50,41,5.55
476,A,Tarde,2.09,1.01,39.23,37,0.00
477,C,Mañana,2.87,1.70,50.88,18,0.00
478,C,Noche,2.74,1.56,49.96,20,1.86
479,C,Noche,2.81,1.56,52.13,25,1.25
480,B,Noche,1.24,1.91,29.28,56,2.50
481,A,Mañana,2.03,0.90,38.57,34,2.38
482,B,Mañana,1.16,2.00,30.18,39,2.08
483,A,Tarde,1.89,0.95,38.37,28,2.99
484,B,Tarde,1.30,2.06,29.25,60,1.62
485,C,Tarde,2.67,1.54,51.46,31,0.00
486,C,Tarde,2.89,1.50,52.75,12,0.00
487,C,Mañana,2.69,1.51,53.81,39,0.00
488,B,Noche,1.09,2.01,30.18,59,2.17
489,B,Noche,1.10,2.09,29.99,56,1.34
490,B,Noche,1.28,2.01,27.38,47,2.96
491,A,Mañana,2.06,1.02,38.77,38,2.72
492,C,Noche,2.87,1.58,49.95,25,3.66
493,C,Mañana,2.76,1.65,52.17,26,2.26
494,B,Mañana,1.19,1.91,29.34,58,0.29
495,A,Tarde,2.13,0.97,38.74,37,0.31
496,A,Noche,2.05,0.97,41.10,28,5.75
497,C,Mañana,2.85,1.59,50.85,29,0.00
498,C,Noche,2.94,1.61,54.50,30,2.25
499,A,Tarde,1.92,1.04,40.11,37,0.00
500,C,Mañana,2.79,1.67,49.37,24,0.62
501,C,Noche,2.67,1.67,50.43,29,1.59
502,B,Mañana,1.30,1.95,28.89,45,0.00
503,A,Mañana,2.09,0.92,41.27,25,1.47
504,A,Noche,1.86,1.10,38.45,44,3.33
505,B,Mañana,1.09,2.03,33.00,55,1.37
506,A,Noche,1.87,0.92,41.50,34,0.35
507,B,Tarde,1.08,2.09,32.15,50,0.00
508,C,Mañana,2.65,1.54,53.92,26,0.99
509,A,Tarde,2.08,0.92,37.77,19,0.00
510,A,Noche,1.96,0.99,41.22,33,3.32
511,C,Mañana,2.94,1.68,54.50,33,0.00
512,B,Tarde,1.23,1.97,32.32,57,1.94
513,A,Noche,2.04,1.02,37.65,32,3.15
514,C,Tarde,2.75,1.51,49.84,30,0.98
515,C,Mañana,2.93,1.62,52.04,32,1.73
516,B,Tarde,1.18,1.92,32.60,42,0.00
517,B,Mañana,1.21,1.98,31.48,53,0.00
518,B,Mañana,1.20,1.98,29.61,48,0.55
519,C,Mañana,2.68,1.53,53.68,27,1.05
520,A,Mañana,2.01,0.94,39.34,36,0.57
521,A,Tarde,1.90,0.99,38.92,33,0.31
