cliente_id,segmento,zona_operativa,canal_preferido,antiguedad_meses,compras_90d,ticket_promedio,reclamos_180d,costo_contacto,valor_cliente_12m,abandono_30d
60,Frecuente,Centro,Digital,47,6,42.31,0,1.80,1025.34,0
61,Premium,Sur,Sucursal,69,9,108.48,0,8.50,2966.13,0
62,Frecuente,Remota,Digital,60,3,39.73,0,1.80,366.46,0
63,Frecuente,Norte,Digital,34,3,113.70,0,1.80,759.41,0
64,Premium,Remota,Digital,31,7,122.39,0,1.80,2978.17,0
65,Inicial,Remota,Sucursal,40,1,25.25,0,8.50,120.99,0
66,Frecuente,Sur,Digital,30,5,83.40,1,1.80,1047.01,0
67,Inicial,Norte,Digital,62,1,76.59,0,1.80,363.74,0
68,Frecuente,Norte,Digital,69,3,77.13,0,1.80,541.85,0
69,Premium,Remota,Digital,2,6,122.88,0,1.80,1720.43,0
70,Inicial,Remota,Digital,74,2,39.53,0,1.80,204.58,0
71,Inicial,Centro,Sucursal,54,0,18.71,0,8.50,20.00,0
72,Frecuente,Sur,Sucursal,8,8,41.58,0,8.50,1551.53,0
73,Premium,Centro,Digital,23,7,130.51,0,1.80,3125.94,0
74,Frecuente,Remota,Digital,30,7,109.52,0,1.80,2932.59,0
75,Frecuente,Centro,Digital,83,6,87.19,0,1.80,2228.93,0
76,Frecuente,Remota,Digital,39,6,54.17,0,1.80,1138.06,0
77,Inicial,Remota,Sucursal,78,1,55.50,2,8.50,205.11,0
78,Premium,Sur,Sucursal,23,8,100.75,0,8.50,3692.89,0
79,Premium,Remota,Telefónico,61,7,152.65,0,4.20,3266.98,0
80,Frecuente,Centro,Digital,41,2,71.82,1,1.80,604.53,0
81,Inicial,Remota,Digital,25,0,41.13,0,1.80,20.00,0
82,Frecuente,Remota,Telefónico,63,6,118.66,2,4.20,2693.39,0
83,Premium,Centro,Sucursal,12,9,180.48,1,8.50,6308.82,0
84,Frecuente,Sur,Digital,62,9,89.80,0,1.80,2936.47,0
85,Premium,Norte,Telefónico,36,9,88.36,0,4.20,2301.99,1
86,Premium,Remota,Telefónico,58,11,113.56,0,4.20,4540.79,0
87,Frecuente,Norte,Telefónico,31,4,64.37,0,4.20,1064.97,0
88,Frecuente,Norte,Digital,5,5,115.66,2,1.80,1771.49,1
89,Inicial,Remota,Digital,19,0,63.76,1,1.80,20.00,0
90,Premium,Centro,Telefónico,69,10,119.73,0,4.20,4871.49,0
91,Inicial,Centro,Digital,37,5,44.36,0,1.80,853.37,0
92,Premium,Sur,Telefónico,6,9,131.33,0,4.20,3701.81,0
93,Frecuente,Norte,Digital,11,4,57.04,0,1.80,847.82,0
94,Frecuente,Sur,Sucursal,60,3,101.38,0,8.50,793.99,0
95,Premium,Sur,Sucursal,55,8,110.33,0,8.50,3899.98,0
96,Frecuente,Sur,Telefónico,38,13,116.75,0,4.20,4901.16,0
97,Premium,Centro,Telefónico,64,11,90.03,0,4.20,4243.54,0
98,Frecuente,Norte,Sucursal,81,4,59.49,0,8.50,796.28,0
99,Inicial,Sur,Digital,54,2,56.41,0,1.80,403.91,0
100,Frecuente,Remota,Telefónico,38,4,71.53,0,4.20,715.12,0
101,Inicial,Remota,Telefónico,72,0,76.70,1,4.20,20.00,0
102,Premium,Remota,Telefónico,48,9,148.61,0,4.20,3029.54,0
103,Premium,Norte,Sucursal,82,10,87.97,0,8.50,2254.98,0
104,Frecuente,Centro,Digital,69,7,89.37,1,1.80,2466.82,0
105,Frecuente,Norte,Telefónico,84,7,88.22,0,4.20,1411.06,0
106,Inicial,Sur,Digital,48,4,8.00,0,1.80,100.24,0
107,Inicial,Remota,Digital,28,0,19.84,2,1.80,20.00,1
108,Inicial,Norte,Sucursal,30,2,38.57,1,8.50,350.36,1
109,Inicial,Norte,Digital,23,5,,1,1.80,1608.18,0
110,Frecuente,Centro,Digital,54,7,32.82,0,1.80,789.86,0
111,Inicial,Remota,Digital,79,5,56.29,1,1.80,954.44,0
112,Frecuente,Remota,Digital,14,4,19.47,0,1.80,186.18,0
113,Inicial,Norte,Digital,82,0,25.64,0,1.80,20.00,0
114,Premium,Centro,Telefónico,84,10,156.85,0,4.20,6980.19,0
115,Frecuente,Sur,Telefónico,52,5,77.40,0,4.20,1228.08,0
116,Inicial,Centro,Telefónico,12,3,8.92,1,4.20,84.84,1
117,Premium,Sur,Sucursal,53,7,163.25,0,8.50,4656.42,0
118,Frecuente,Centro,Sucursal,28,1,87.52,1,8.50,385.32,0
119,Inicial,Sur,Sucursal,55,5,8.00,1,8.50,154.84,0
120,Premium,Sur,Digital,35,6,128.96,0,1.80,2385.87,1
121,Premium,Remota,Digital,82,9,133.14,0,1.80,4049.64,0
122,Frecuente,Centro,Telefónico,20,5,90.29,1,4.20,1784.31,0
123,Frecuente,Remota,Digital,28,6,60.21,0,1.80,1432.00,0
124,Inicial,Norte,Digital,77,2,60.28,0,1.80,561.54,0
125,Frecuente,Sur,Digital,64,5,57.08,0,1.80,999.15,0
126,Inicial,Remota,Telefónico,6,4,20.48,1,4.20,196.78,0
127,Frecuente,Remota,Digital,52,7,74.78,1,1.80,2283.97,0
128,Inicial,Norte,Digital,52,0,21.18,0,1.80,20.00,0
129,Inicial,Centro,Digital,15,0,41.99,0,1.80,20.00,0
130,Inicial,Norte,Digital,23,0,12.55,0,1.80,20.00,0
131,Frecuente,Remota,Sucursal,75,1,89.20,0,8.50,341.08,0
132,Inicial,Remota,Digital,57,0,15.96,0,1.80,20.00,0
133,Frecuente,Remota,Digital,48,6,63.65,1,1.80,1450.75,0
134,Premium,Centro,Digital,74,6,122.77,0,1.80,2531.55,0
135,Inicial,Sur,Telefónico,11,0,44.58,0,4.20,20.00,0
136,Frecuente,Sur,Digital,44,8,68.60,0,1.80,2107.53,0
137,Premium,Remota,Digital,78,10,119.55,0,1.80,3717.53,0
138,Frecuente,Norte,Sucursal,11,5,63.47,1,8.50,1351.31,0
139,Premium,Centro,Sucursal,55,8,134.75,0,8.50,3329.52,0
140,Inicial,Norte,Digital,13,6,15.14,0,1.80,374.19,0
141,Premium,Norte,Sucursal,20,10,173.57,0,8.50,4565.63,0
142,Premium,Norte,Telefónico,79,5,126.32,1,4.20,2126.70,0
143,Frecuente,Norte,Digital,74,8,69.39,0,1.80,1982.63,0
144,Premium,Norte,Telefónico,7,10,104.13,0,4.20,3792.38,0
145,Inicial,Sur,Digital,21,1,96.58,1,1.80,450.11,0
146,Frecuente,Centro,Digital,51,7,,0,1.80,1822.46,0
147,Inicial,Sur,Sucursal,18,6,57.78,0,8.50,1446.57,0
148,Inicial,Centro,Digital,20,2,8.12,0,1.80,58.00,0
149,Frecuente,Centro,Digital,54,4,46.32,2,1.80,648.37,0
150,Premium,Norte,Sucursal,38,10,105.07,0,8.50,2968.76,0
151,Inicial,Sur,Digital,68,0,33.47,0,1.80,20.00,0
152,Frecuente,Sur,Sucursal,46,5,77.29,0,8.50,1586.62,0
153,Premium,Sur,Digital,46,5,122.46,1,1.80,2086.73,0
154,Inicial,Centro,Sucursal,59,5,60.67,0,8.50,1291.36,0
155,Frecuente,Remota,Telefónico,70,5,73.09,0,4.20,1623.18,0
156,Frecuente,Centro,Sucursal,56,4,102.42,0,8.50,1854.15,0
157,Frecuente,Remota,Digital,67,5,81.91,0,1.80,1960.66,0
158,Inicial,Centro,Digital,38,2,33.67,1,1.80,222.74,0
159,Inicial,Sur,Sucursal,56,1,111.35,0,8.50,429.52,0
160,Premium,Norte,Telefónico,19,8,155.99,0,4.20,4167.24,0
161,Premium,Sur,Digital,73,10,137.80,0,1.80,4622.12,0
162,Frecuente,Remota,Digital,36,6,72.03,1,1.80,1777.42,0
163,Premium,Centro,Digital,34,8,119.01,0,1.80,4566.60,0
164,Inicial,Remota,Digital,57,0,88.77,0,1.80,20.00,0
165,Premium,Centro,Digital,38,12,105.43,0,1.80,4881.13,0
166,Inicial,Norte,Sucursal,31,0,46.39,0,8.50,20.00,0
167,Premium,Norte,Sucursal,12,10,144.71,0,8.50,4729.20,0
168,Inicial,Sur,Sucursal,58,0,16.70,0,8.50,20.00,0
169,Premium,Norte,Sucursal,17,4,156.67,0,8.50,1628.05,0
170,Premium,Norte,Digital,67,9,171.66,0,1.80,4405.63,0
171,Inicial,Sur,Sucursal,12,0,44.76,1,8.50,20.00,0
172,Premium,Centro,Telefónico,4,8,186.01,1,4.20,6257.03,0
173,Premium,Remota,Sucursal,4,6,135.42,0,8.50,2807.70,0
174,Frecuente,Remota,Digital,8,10,85.58,1,1.80,2916.25,0
175,Premium,Sur,Sucursal,45,10,133.04,0,8.50,4030.77,0
176,Inicial,Norte,Digital,38,3,90.16,0,1.80,889.11,0
177,Frecuente,Sur,Digital,21,3,72.31,0,1.80,490.35,0
178,Inicial,Norte,Sucursal,7,2,71.65,0,8.50,643.98,0
179,Premium,Centro,Telefónico,56,10,149.03,0,4.20,3453.89,0
180,Frecuente,Sur,Digital,65,7,43.14,1,1.80,1312.34,0
181,Inicial,Centro,Digital,44,0,36.86,1,1.80,20.00,1
182,Premium,Sur,Sucursal,67,11,103.42,0,8.50,4027.59,0
183,Inicial,Remota,Telefónico,39,0,,0,4.20,20.00,0
184,Frecuente,Centro,Telefónico,75,5,53.79,2,4.20,1201.52,0
185,Frecuente,Norte,Sucursal,75,3,75.58,0,8.50,723.00,0
186,Premium,Centro,Digital,57,5,129.64,0,1.80,2589.79,0
187,Frecuente,Centro,Sucursal,67,6,92.52,0,8.50,1674.12,0
188,Frecuente,Sur,Sucursal,83,3,78.22,0,8.50,811.66,0
189,Frecuente,Norte,Telefónico,39,6,34.84,0,4.20,720.57,0
190,Premium,Sur,Digital,74,6,124.57,0,1.80,3548.93,0
191,Inicial,Sur,Digital,11,0,66.33,0,1.80,20.00,0
192,Premium,Sur,Digital,79,11,133.98,0,1.80,3436.96,0
193,Inicial,Centro,Digital,43,1,34.18,0,1.80,124.12,0
194,Frecuente,Remota,Sucursal,37,5,57.05,1,8.50,1300.83,0
195,Premium,Centro,Telefónico,23,5,157.58,0,4.20,3446.29,0
196,Premium,Sur,Telefónico,2,8,125.24,1,4.20,4622.69,0
197,Premium,Remota,Telefónico,18,10,113.29,0,4.20,2971.05,0
198,Inicial,Centro,Sucursal,38,2,8.22,0,8.50,43.67,0
199,Frecuente,Sur,Digital,13,6,84.12,0,1.80,1452.58,0
200,Frecuente,Sur,Sucursal,74,7,106.86,0,8.50,2993.00,0
201,Frecuente,Norte,Digital,65,9,48.68,0,1.80,1691.40,0
202,Inicial,Norte,Telefónico,62,0,67.76,1,4.20,20.00,0
203,Frecuente,Norte,Sucursal,77,6,64.90,0,8.50,935.81,0
204,Premium,Norte,Sucursal,20,10,159.10,1,8.50,5328.08,0
205,Frecuente,Centro,Telefónico,58,6,47.39,0,4.20,668.28,0
206,Premium,Centro,Digital,1,8,134.17,0,1.80,2487.76,0
207,Inicial,Centro,Telefónico,61,4,49.87,0,4.20,946.35,0
208,Frecuente,Remota,Telefónico,49,2,46.18,1,4.20,362.12,0
209,Frecuente,Centro,Digital,69,5,79.80,2,1.80,1662.22,0
210,Premium,Remota,Digital,30,8,135.35,1,1.80,3158.09,0
211,Inicial,Centro,Sucursal,54,0,8.00,1,8.50,20.00,0
212,Premium,Centro,Digital,6,8,120.67,0,1.80,2669.03,0
213,Premium,Sur,Digital,74,7,164.41,0,1.80,3434.84,0
214,Inicial,Remota,Digital,8,0,14.90,0,1.80,20.00,0
215,Premium,Remota,Digital,45,11,122.15,0,1.80,4410.54,0
216,Premium,Remota,Digital,29,7,123.20,1,1.80,3704.16,0
217,Frecuente,Norte,Digital,33,6,105.14,2,1.80,1539.56,0
218,Frecuente,Remota,Sucursal,78,4,81.04,0,8.50,1391.39,0
219,Inicial,Remota,Digital,43,0,94.64,0,1.80,20.00,0
220,Inicial,Norte,Digital,31,3,8.00,0,1.80,76.55,0
221,Frecuente,Sur,Digital,64,2,81.17,0,1.80,492.30,0
222,Inicial,Norte,Sucursal,3,0,41.21,2,8.50,20.00,1
223,Frecuente,Norte,Digital,32,3,72.15,0,1.80,938.60,0
224,Frecuente,Remota,Digital,46,4,90.61,1,1.80,1257.55,0
225,Premium,Centro,Digital,10,11,122.96,0,1.80,5938.74,0
226,Inicial,Norte,Digital,48,0,76.76,1,1.80,20.00,0
227,Inicial,Centro,Digital,53,4,47.19,0,1.80,423.71,0
228,Inicial,Centro,Telefónico,68,7,54.30,1,4.20,1356.43,0
229,Frecuente,Centro,Digital,52,4,76.57,0,1.80,1333.14,0
230,Premium,Centro,Digital,49,7,115.44,1,1.80,3115.72,0
231,Frecuente,Sur,Sucursal,13,9,38.95,0,8.50,1402.27,0
232,Inicial,Sur,Telefónico,73,6,36.76,0,4.20,973.01,0
233,Inicial,Remota,Telefónico,39,2,60.17,1,4.20,545.30,0
234,Inicial,Centro,Digital,45,0,69.28,0,1.80,20.00,0
235,Premium,Remota,Telefónico,42,10,138.55,1,4.20,4329.82,0
236,Premium,Remota,Digital,80,8,129.92,0,1.80,2485.26,0
237,Premium,Norte,Sucursal,41,8,143.07,1,8.50,4783.78,0
238,Frecuente,Remota,Sucursal,66,5,67.36,0,8.50,1050.90,0
239,Frecuente,Remota,Digital,53,5,78.54,2,1.80,1862.75,0
240,Frecuente,Norte,Digital,39,3,70.44,1,1.80,556.81,0
241,Inicial,Sur,Digital,32,1,17.38,0,1.80,44.36,1
242,Premium,Remota,Sucursal,43,7,111.30,0,8.50,3382.34,0
243,Frecuente,Sur,Sucursal,26,4,73.97,0,8.50,1216.33,0
244,Inicial,Sur,Digital,51,3,8.19,2,1.80,66.80,0
245,Premium,Centro,Telefónico,60,10,129.23,0,4.20,3075.35,0
246,Premium,Remota,Digital,39,5,136.76,1,1.80,2776.03,0
247,Premium,Remota,Sucursal,69,4,132.76,0,8.50,2259.99,0
248,Premium,Centro,Digital,32,6,122.67,0,1.80,2857.43,0
249,Premium,Remota,Telefónico,43,11,129.56,1,4.20,5027.50,0
250,Premium,Norte,Digital,51,9,99.76,0,1.80,3587.09,0
251,Frecuente,Centro,Digital,11,9,110.01,1,1.80,3350.36,0
252,Frecuente,Centro,Digital,58,7,63.49,1,1.80,1913.95,0
253,Premium,Centro,Sucursal,22,11,118.20,0,8.50,3979.29,0
254,Frecuente,Norte,Digital,56,5,40.90,1,1.80,919.47,0
255,Inicial,Norte,Digital,9,0,24.90,0,1.80,20.00,1
256,Frecuente,Sur,Sucursal,79,5,62.77,0,8.50,977.73,0
257,Premium,Sur,Telefónico,76,9,141.53,0,4.20,3408.62,0
258,Frecuente,Norte,Sucursal,55,7,85.39,1,8.50,2392.76,0
259,Premium,Norte,Digital,18,10,177.55,0,1.80,8300.05,0
260,Frecuente,Remota,Digital,63,3,,1,1.80,336.99,0
261,Inicial,Sur,Digital,29,0,41.59,0,1.80,20.00,0
262,Inicial,Sur,Sucursal,47,2,8.00,0,8.50,66.82,0
263,Frecuente,Centro,Sucursal,84,6,51.82,1,8.50,965.87,0
264,Inicial,Norte,Digital,76,1,27.21,0,1.80,103.02,0
265,Inicial,Norte,Sucursal,73,1,60.72,0,8.50,244.72,0
266,Premium,Centro,Digital,53,8,200.50,0,1.80,7144.61,0
267,Inicial,Norte,Sucursal,32,2,9.05,0,8.50,52.47,0
268,Premium,Centro,Digital,36,9,118.26,0,1.80,3599.83,0
269,Premium,Centro,Sucursal,59,6,107.19,1,8.50,2080.02,0
270,Frecuente,Sur,Digital,37,3,55.49,1,1.80,611.23,0
271,Premium,Centro,Digital,81,9,108.98,1,1.80,3283.00,1
272,Inicial,Norte,Telefónico,39,4,75.18,2,4.20,875.83,0
273,Frecuente,Norte,Digital,81,4,106.97,0,1.80,1724.24,1
274,Inicial,Norte,Digital,57,4,81.95,0,1.80,1417.62,0
275,Inicial,Remota,Digital,50,5,68.13,1,1.80,1014.53,0
276,Inicial,Norte,Digital,73,3,79.73,0,1.80,799.89,0
277,Inicial,Remota,Sucursal,57,2,37.12,1,8.50,277.15,0
278,Frecuente,Norte,Digital,83,7,98.30,1,1.80,2587.33,0
279,Premium,Centro,Telefónico,39,9,166.52,0,4.20,5814.97,0
280,Inicial,Remota,Digital,31,3,12.78,0,1.80,137.00,0
281,Frecuente,Norte,Digital,73,3,86.39,1,1.80,1235.56,0
282,Inicial,Sur,Digital,8,3,67.93,0,1.80,600.15,0
283,Frecuente,Remota,Digital,69,4,68.76,0,1.80,1263.68,0
284,Frecuente,Remota,Sucursal,84,6,68.27,0,8.50,1645.35,0
285,Inicial,Norte,Digital,56,4,,1,1.80,1048.16,0
286,Inicial,Centro,Digital,45,3,8.00,0,1.80,97.78,0
287,Frecuente,Centro,Sucursal,4,4,93.88,0,8.50,1778.13,0
288,Premium,Sur,Digital,73,8,142.00,0,1.80,4783.46,0
289,Inicial,Norte,Sucursal,1,5,58.07,0,8.50,927.90,0
290,Inicial,Remota,Digital,32,4,11.87,1,1.80,137.97,0
291,Premium,Centro,Digital,67,13,128.06,1,1.80,4884.41,0
292,Premium,Remota,Digital,26,9,124.14,1,1.80,4606.17,0
293,Frecuente,Norte,Sucursal,70,6,54.04,1,8.50,909.76,0
294,Inicial,Sur,Digital,49,2,67.54,0,1.80,333.70,0
295,Frecuente,Centro,Telefónico,19,5,61.70,2,4.20,1095.61,0
296,Premium,Centro,Sucursal,65,6,164.70,1,8.50,2366.32,0
297,Inicial,Norte,Digital,41,3,34.25,1,1.80,347.04,0
298,Inicial,Centro,Digital,22,0,25.20,0,1.80,20.00,0
299,Frecuente,Sur,Digital,16,9,95.45,0,1.80,3237.24,0
300,Inicial,Centro,Sucursal,46,4,38.96,0,8.50,463.88,0
301,Frecuente,Remota,Sucursal,71,6,98.72,0,8.50,1321.58,0
302,Inicial,Norte,Telefónico,48,0,22.97,0,4.20,20.00,0
303,Inicial,Centro,Telefónico,26,3,30.06,1,4.20,392.85,0
304,Frecuente,Centro,Digital,74,9,36.82,1,1.80,1156.35,0
305,Frecuente,Norte,Telefónico,36,5,120.89,1,4.20,1715.99,0
306,Premium,Remota,Digital,36,9,116.44,0,1.80,4056.54,0
307,Premium,Centro,Telefónico,46,5,,0,4.20,2130.30,0
308,Premium,Norte,Digital,36,11,204.17,1,1.80,8032.48,0
309,Inicial,Centro,Digital,31,1,88.94,0,1.80,426.09,0
310,Frecuente,Sur,Telefónico,23,5,86.40,1,4.20,1855.97,0
311,Inicial,Sur,Telefónico,73,5,90.51,1,4.20,2137.38,0
312,Inicial,Centro,Digital,78,0,50.71,1,1.80,20.00,0
313,Inicial,Sur,Sucursal,42,3,49.96,0,8.50,372.96,0
314,Inicial,Sur,Sucursal,51,0,26.36,0,8.50,20.00,0
315,Frecuente,Remota,Sucursal,23,5,42.27,1,8.50,661.07,0
316,Frecuente,Sur,Sucursal,38,4,99.01,1,8.50,1848.25,0
317,Premium,Centro,Digital,41,13,105.09,0,1.80,6332.61,0
318,Inicial,Sur,Telefónico,22,4,8.00,0,4.20,138.76,0
319,Frecuente,Remota,Digital,27,6,80.99,0,1.80,1070.73,0
320,Inicial,Remota,Digital,49,2,31.17,1,1.80,271.48,0
321,Premium,Norte,Digital,10,9,129.04,1,1.80,2871.20,0
322,Inicial,Centro,Digital,12,2,8.41,2,1.80,76.05,0
323,Premium,Norte,Sucursal,56,9,144.25,0,8.50,5209.64,0
324,Frecuente,Sur,Digital,13,7,101.75,1,1.80,3122.21,0
325,Frecuente,Centro,Digital,81,4,62.57,1,1.80,740.47,0
326,Frecuente,Remota,Digital,34,6,97.28,1,1.80,1564.72,0
327,Frecuente,Centro,Digital,60,5,117.56,0,1.80,2357.52,0
328,Premium,Remota,Telefónico,76,8,136.20,0,4.20,3493.75,0
329,Premium,Remota,Sucursal,31,8,136.45,1,8.50,3826.46,0
330,Premium,Norte,Digital,58,7,167.24,2,1.80,5534.58,0
331,Frecuente,Centro,Telefónico,56,7,114.61,1,4.20,2431.97,0
332,Inicial,Remota,Sucursal,71,4,36.12,1,8.50,489.93,0
333,Premium,Remota,Digital,20,10,160.64,0,1.80,7397.20,0
334,Frecuente,Sur,Telefónico,34,1,51.47,1,4.20,194.72,1
335,Inicial,Remota,Digital,43,1,37.90,0,1.80,120.07,0
336,Frecuente,Sur,Telefónico,13,6,89.01,0,4.20,1592.11,0
337,Frecuente,Sur,Sucursal,78,5,59.73,1,8.50,1232.38,0
338,Inicial,Norte,Digital,65,5,10.67,1,1.80,190.11,0
339,Inicial,Centro,Digital,59,3,52.09,0,1.80,532.38,0
340,Premium,Centro,Digital,63,10,122.54,0,1.80,5469.14,0
341,Inicial,Sur,Sucursal,12,1,68.15,1,8.50,320.92,0
342,Premium,Norte,Digital,53,11,87.17,0,1.80,4520.66,0
343,Inicial,Norte,Sucursal,2,2,77.42,1,8.50,626.19,0
344,Frecuente,Remota,Digital,60,4,,1,1.80,957.39,0
345,Premium,Sur,Sucursal,77,7,122.21,0,8.50,4080.43,0
346,Frecuente,Sur,Digital,67,6,77.00,0,1.80,1983.79,0
347,Premium,Sur,Sucursal,4,5,66.24,0,8.50,1062.99,1
348,Premium,Norte,Digital,29,11,121.67,0,1.80,4599.75,0
349,Frecuente,Norte,Telefónico,72,6,81.87,1,4.20,2113.20,0
350,Premium,Sur,Sucursal,29,10,110.65,1,8.50,3317.87,0
351,Frecuente,Sur,Digital,16,2,80.86,0,1.80,385.75,0
352,Premium,Remota,Digital,53,6,179.41,0,1.80,2752.67,0
353,Premium,Remota,Digital,24,9,107.70,0,1.80,3731.66,1
354,Inicial,Norte,Digital,12,1,62.59,1,1.80,207.58,0
355,Inicial,Centro,Digital,48,6,29.37,0,1.80,395.94,1
356,Inicial,Sur,Digital,14,0,21.20,1,1.80,20.00,0
357,Frecuente,Remota,Sucursal,77,3,68.14,0,8.50,979.12,0
358,Inicial,Remota,Digital,29,1,43.18,0,1.80,177.41,0
359,Frecuente,Centro,Digital,82,5,,3,1.80,1993.29,0
360,Premium,Centro,Digital,49,10,148.07,0,1.80,5959.53,0
361,Inicial,Sur,Digital,13,1,28.77,0,1.80,125.42,0
362,Inicial,Sur,Digital,14,1,12.11,0,1.80,51.15,0
363,Frecuente,Remota,Digital,6,1,56.30,0,1.80,158.18,1
364,Inicial,Remota,Digital,12,0,46.75,0,1.80,20.00,0
365,Frecuente,Sur,Digital,7,7,80.73,1,1.80,2420.94,0
366,Inicial,Centro,Digital,18,2,37.40,0,1.80,234.09,0
367,Premium,Centro,Digital,44,9,157.16,1,1.80,4530.26,0
368,Premium,Norte,Digital,8,8,180.98,0,1.80,3575.69,0
369,Premium,Remota,Digital,49,9,102.56,1,1.80,3775.95,0
370,Frecuente,Centro,Telefónico,57,2,89.92,0,4.20,542.57,0
371,Premium,Norte,Telefónico,44,5,130.61,0,4.20,2670.58,0
372,Premium,Remota,Digital,72,7,160.75,0,1.80,2509.60,0
373,Frecuente,Remota,Telefónico,10,6,50.90,0,4.20,1074.35,0
374,Inicial,Centro,Digital,74,3,8.00,1,1.80,80.70,0
375,Premium,Centro,Digital,53,11,141.76,1,1.80,7335.73,0
376,Premium,Norte,Sucursal,59,5,156.71,0,8.50,1834.34,0
377,Premium,Remota,Sucursal,47,8,123.46,0,8.50,3049.50,0
378,Frecuente,Sur,Sucursal,6,4,94.28,0,8.50,1635.57,0
379,Frecuente,Norte,Digital,51,6,115.73,0,1.80,2894.69,0
380,Premium,Centro,Sucursal,58,10,,0,8.50,3655.63,0
